session,component_idx,old_label,new_label,reason,status
NOF_H32_1D,1029,1,0,FAKE FN #1 - model correct DELETE,APPLIED
NOF_H27_3D,198,1,0,FAKE FN #2 - model correct DELETE,APPLIED
NOF_H27_3D,235,1,0,FAKE FN #4 - model correct DELETE,APPLIED
NOF_H27_3D,109,1,0,FAKE FN #5 - model correct DELETE,APPLIED
NOF_H07_4D,10,1,0,FAKE FN #6 - model correct DELETE,APPLIED
NOF_H07_4D,11,1,0,FAKE FN #7 - model correct DELETE,APPLIED
NOF_H27_3D,172,1,0,FAKE FN #8 - model correct DELETE,APPLIED
NOF_H32_1D,542,1,0,FAKE FN #9 - model correct DELETE,APPLIED
RFC_F54_3D,292,1,0,FAKE FN #10 - model correct DELETE,APPLIED
NOF_H07_4D,77,1,0,FAKE FN #11 - model correct DELETE,APPLIED
NOF_H32_1D,403,1,0,FAKE FN #12 - model correct DELETE,APPLIED
NOF_H27_3D,82,1,0,FAKE FN #13 - model correct DELETE,APPLIED
NOF_H32_4D,948,1,0,FAKE FN #14 - model correct DELETE,APPLIED
NOF_H27_3D,93,1,0,FAKE FN #15 - model correct DELETE,APPLIED
NOF_H27_3D,173,1,0,FAKE FN #16 - model correct DELETE,APPLIED
NOF_H06_3D,133,1,0,FAKE FN #17 - model correct DELETE,APPLIED
NOF_H39_4D,502,1,0,FAKE FN #18 - model correct DELETE,APPLIED
LNOF_J61_3D,348,1,0,FAKE FN #19 - model correct DELETE,APPLIED
FOF_F29_1D,208,1,0,FAKE FN #20 - model correct DELETE,APPLIED
NOF_H27_3D,184,1,0,FAKE FN #21 - model correct DELETE,APPLIED
NOF_H27_3D,202,1,0,FAKE FN #22 - model correct DELETE,APPLIED
NOF_H27_3D,138,1,0,FAKE FN #24 - model correct DELETE,APPLIED
NOF_H07_4D,54,1,0,FAKE FN #25 - model correct DELETE,APPLIED
NOF_H32_1D,144,1,0,FAKE FN #26 - model correct DELETE,APPLIED
NOF_H27_3D,164,1,0,FAKE FN #27 - model correct DELETE,APPLIED
NOF_H27_3D,91,1,0,FAKE FN #28 - model correct DELETE,APPLIED
NOF_H07_4D,50,1,0,FAKE FN #29 - model correct DELETE,APPLIED
NOF_H32_1D,1066,1,0,FAKE FN #30 - model correct DELETE,APPLIED
RFC_F54_3D,124,1,0,FAKE FN #31 - model correct DELETE,APPLIED
FOF_F29_1D,221,1,0,FAKE FN #32 - model correct DELETE,APPLIED
NOF_H32_1D,428,1,0,FAKE FN #33 - model correct DELETE,APPLIED
NOF_H27_3D,212,1,0,FAKE FN #34 - model correct DELETE,APPLIED
NOF_H07_4D,101,1,0,FAKE FN #35 - model correct DELETE,APPLIED
NOF_H32_1D,999,1,0,FAKE FN #36 - model correct DELETE,APPLIED
NOF_H39_4D,872,1,0,FAKE FN #37 - model correct DELETE,APPLIED
